date;pk;x317;ammo27;ammo33;dap;mop;solaz;superp3x;uree
2026-04-13;517.25;593.25;500.25;607.25;804.0;372.25;461.25;567.25;806.5
2026-04-14;517.25;593.25;500.5;607.75;804.25;372.25;461.5;567.25;807.75
2026-04-15;517.25;593.25;500.5;608.25;804.5;372.25;461.75;567.25;808.75
2026-04-16;517.25;593.25;500.5;608.5;804.5;372.25;462.0;567.25;809.5
